Tweet_count,Username,Text,Created At,Retweets,Likes
110,"H.E. Rigathi Gachagua, EGH","Swearing in ceremony, Moi International Sports Centre, Kasarani, Nairobi County.

Thank you God, thank you Kenya. https://t.co/vEWJgouQqb",Tue Sep 13 18:02:39 +0000 2022,1041,14439
111,"H.E. Rigathi Gachagua, EGH","Happy Birthday, my Brother and my  Friend, President @WilliamsRuto. https://t.co/LZZ9NOWlpF",Thu Dec 21 06:42:00 +0000 2023,410,4028
112,"Cyprian, Is Nyakundi",Rigathi Gachagua: Children of other people I know hide their money in Cayman Island and in Dubai https://t.co/NxKWer5qrK,Mon Oct 07 17:12:24 +0000 2024,2627,12166
113,Citizen TV Kenya,Senator Edwin Sifuna: Yaani hii serikali imekuwa mbaya mpaka watu kama Rigathi Gachagua wanaanza kukaa kama watu wazuri https://t.co/qeHJAfDAHW,Sun Jun 16 07:03:53 +0000 2024,1623,6867
114,Gwa giff,"This guy Rigathi Gachagua was fired  in 1997 as  a DO how was he also a DO in 2007?

Mutuse Aoko Kimani Ichungwah President William Ruto Amerix Parliment https://t.co/FphZDDix0P",Tue Oct 08 08:37:43 +0000 2024,8,6
115,ˢ🅚ᴵᴾᴾᴱᴿ,Rigathi gachagua that showed up vs the the one they expected https://t.co/VNDHSilzVG,Tue Oct 08 16:04:03 +0000 2024,71,335
116,Punstar,Rigathi Gachagua is not only an honest men but also a lonely men https://t.co/dRxi8ovKbx,Mon Oct 07 16:49:05 +0000 2024,200,1852
117,SLYVIA _SSARU,"Rigathi Gachagua was Uhuru's PA for 20 years. Clearly, Ruto underestimated him https://t.co/m069THfAjf",Tue Oct 08 04:57:57 +0000 2024,252,1185
118,KOT OCS👮👮,"""You're being tribal with this shareholding thing""

Rigathi Gachagua 👇 https://t.co/grBcsMyuqD",Mon Oct 07 18:26:36 +0000 2024,578,3233
119,Sholla Ard 🇰🇪,"Are kenyans aware that Dp Rigathi Gachagua has produced this video as "" evidence kwa kalatasi "" ? 🚨 In short William ruto is a liar. The house of cards coming down . Wetangula Millie odhiambo https://t.co/8XUkGgdJDt",Tue Oct 08 15:20:35 +0000 2024,519,1285
120,Abdullahi Alas,"I said to people, why would Gachagua resign? What does he have to lose? @rigathi is a product of Nyao era, unlike Uhuru who was intimated or felt cool isn't Gachagua, he is a hard core more than Ruto. He wouldn't blink from Ruto's pressure or intimidation. Khumundu khumundu. 😜😜 https://t.co/tbqzGOT4Cr",Mon Oct 07 19:21:14 +0000 2024,0,2
121,TweetsByMelly,Rigathi Gachagua❌   Rigathi Gachawa✅ https://t.co/WZi2cCcYvS,Tue Oct 08 17:00:06 +0000 2024,3,21
122,Boen,Deputy president Rigathi Gachagua during the burial of the late Nyeri Governor Nderitu Gachagua burial in 2017. https://t.co/H97f8ZmjLG,Mon Oct 07 16:58:04 +0000 2024,0,25
123,Omwamba 🇰🇪,Rigathi Gachagua with his Family! https://t.co/DhnJAeGk3Z,Tue Oct 08 05:36:08 +0000 2024,69,1191
124,Lupellah Johnson,"""I think don't take any more questions ""
Who is that woman that told Rigathi Gachagua not to 🤔😂
Enyewe Riggy G ako so truthful adi P.A akaona anachoma😂 https://t.co/omqS62xzjC",Mon Oct 07 18:47:49 +0000 2024,17,131
125,"Cyprian, Is Nyakundi",Opposition leader Rigathi Gachagua accuses top Interior Ministry officials of sabotaging war on illicit brews https://t.co/ITPmiioqne,Sun Jul 07 12:19:05 +0000 2024,742,2941
126,Omwamba 🇰🇪,Did you guys hear what DP Rigathi Gachagua told Gladys Boss Shollei yesterday at the National Assembly? Weuh! https://t.co/qnvvENgSRz,Wed Oct 09 04:35:30 +0000 2024,69,312
127,"Cyprian, Is Nyakundi",Kapseret MP Oscar Sudi makes a rare appearance in Parliament during impeachment debate of Deputy President Rigathi Gachagua. https://t.co/RkAg1819uh,Tue Oct 08 17:16:20 +0000 2024,419,2577
128,Omwamba 🇰🇪,Does DP Rigathi Gachagua stand a Chance at the Senate??? https://t.co/d91SDpvGcQ,Tue Oct 08 19:16:59 +0000 2024,34,260
129,The Chosen,"As a truthful men, what can you tell Rigathi Gachagua? https://t.co/PHninTDFSL",Wed Oct 09 03:47:44 +0000 2024,5,42
